X,omega
86,0
9,0
27,0
10,0
22,0
83,0
53,0
86,0
48,0
94,0
47,0
80,0
56,0
31,0
33,0
59,0
79,0
89,0
64,0
33,0
48,0
75,0
44,0
22,0
98,0
75,0
64,0
100,0
72,0
12,0
77,0
5,0
3,0
5,0
48,0
85,0
53,0
59,0
94,0
57,0
62,0
70,0
5,0
67,0
13,0
63,0
9,0
81,0
85,0
2,0
10,0
21,0
68,0
84,0
14,0
24,0
75,0
48,0
100,0
76,0
34,0
100,0
12,0
49,0
85,0
43,0
37,0
87,0
25,0
24,0
73,0
68,0
71,0
24,0
69,0
69,0
61,0
29,0
48,0
71,0
80,0
23,0
11,0
54,0
69,0
28,0
64,0
63,0
16,0
58,0
54,0
60,0
12,0
15,0
84,0
14,0
1,0
5,0
6,0
94,0
36,0
34,0
72,0
38,0
75,0
76,0
60,0
24,0
80,0
71,0
8,0
66,0
12,0
35,0
82,0
65,0
36,0
7,0
96,0
29,0
83,0
50,0
1,0
9,0
66,0
19,0
65,0
24,0
64,0
25,0
96,0
2,0
49,0
66,0
39,0
24,0
8,0
71,0
49,0
88,0
1,0
70,0
3,0
89,0
22,0
84,0
65,0
29,0
42,0
3,0
20,0
0,0
57,0
32,0
25,0
83,0
73,0
98,0
73,0
96,0
9,0
34,0
38,0
41,0
21,0
83,0
69,0
77,0
31,0
56,0
70,0
99,0
29,0
7,0
27,0
26,0
7,0
97,0
70,0
88,0
50,0
58,0
76,0
88,0
1,0
30,0
92,0
8,0
64,0
40,0
0,0
31,0
53,0
21,0
67,0
64,0
59,0
44,0
13,0
13,0
8,0
87,0
38,0
2,0
11,0
79,0
69,0
7,0
22,0
91,0
82,0
54,0
94,0
80,0
26,0
76,0
20,0
76,0
15,0
97,0
71,0
23,0
67,0
4,0
22,0
9,0
45,0
41,0
77,0
57,0
59,0
80,0
71,0
87,0
30,0
57,0
19,0
46,0
91,0
32,0
92,0
31,0
19,0
11,0
10,0
70,0
38,0
32,0
26,0
39,0
22,0
38,0
28,0
48,0
84,0
63,0
61,0
60,0
38,0
28,0
65,0
90,0
1,0
22,0
39,0
97,0
63,0
52,0
88,0
72,0
15,0
28,0
49,0
7,0
28,0
38,0
95,0
81,0
6,0
45,0
85,0
4,0
41,0
85,0
91,0
50,0
89,0
78,0
73,0
3,0
55,0
63,0
19,0
32,0
32,0
31,0
36,0
14,0
15,0
74,0
90,0
74,0
31,0
7,0
98,0
39,0
5,0
29,0
40,0
37,0
58,0
76,0
94,0
5,0
55,0
93,0
53,0
61,0
75,0
84,0
72,0
33,0
90,0
63,0
90,0
58,0
76,0
44,0
28,0
85,0
83,0
77,0
60,0
64,0
58,0
50,0
99,0
95,0
11,0
43,0
82,0
19,0
35,0
81,0
19,0
86,0
56,0
5,0
59,0
95,0
18,0
22,0
55,0
14,0
99,0
71,0
70,0
62,0
74,0
40,0
20,0
2,0
45,0
67,0
91,0
63,0
98,0
44,0
95,0
71,0
43,0
80,0
66,0
80,0
55,0
4,0
92,0
95,0
44,0
83,0
1,0
35,0
11,0
47,0
29,0
66,0
91,0
97,0
89,0
71,0
3,0
11,0
96,0
85,0
87,0
47,0
31,0
92,0
15,0
24,0
8,0
60,0
42,0
93,0
8,0
6,0
39,0
87,0
18,0
98,0
100,0
30,0
42,0
4,0
94,0
41,0
97,0
27,0
40,0
70,0
90,0
6,0
25,0
1,0
90,0
90,0
76,0
0,0
53,0
82,0
42,0
94,0
89,0
0,0
45,0
82,0
18,0
98,0
91,0
11,0
71,0
27,0
63,0
49,0
98,0
77,0
13,0
82,0
68,0
87,0
79,0
81,0
96,0
62,0
80,0
57,0
79,0
58,0
73,0
39,0
68,0
86,0
44,0
74,0
96,0
12,0
97,0
39,0
29,0
51,0
79,0
93,0
44,0
57,0
67,0
89,0
34,0
25,0
63,0
23,0
93,0
1,0
30,0
96,0
90,0
45,0
47,0
14,0
93,0
92,0
57,0
39,0
27,0
34,0
53,0
14,0
10,0
26,0
91,0
35,0
25,0
35,0
63,0
45,0
72,0
25,0
23,0
87,0
5,0
40,0
40,0
74,0
62,0
91,0
30,0
33,0
7,0
99,0
11,0
75,0
84,0
53,0
42,0
77,0
79,0
6,0
11,0
38,0
32,0
67,0
38,0
3,0
59,0
97,0
14,0
55,0
69,0
81,0
50,0
14,0
43,0
34,0
3,0
99,0
26,0
99,0
84,0
94,0
2,0
61,0
78,0
82,0
31,0
2,0
40,0
63,0
49,0
27,0
47,0
90,0
87,0
28,0
65,0
94,0
2,0
9,0
3,0
58,0
49,0
77,0
52,0.3
53,0.3
57,0.3
51,0.3
51,0.3
47,0.3
61,0.3
49,0.3
54,0.3
53,0.3
54,0.3
55,0.3
46,0.3
54,0.3
52,0.3
53,0.3
52,0.3
44,0.3
